@RELATION 'Shuttle, without duplicates, v01'

@ATTRIBUTE 'att1' real
@ATTRIBUTE 'att2' real
@ATTRIBUTE 'att3' real
@ATTRIBUTE 'att4' real
@ATTRIBUTE 'att5' real
@ATTRIBUTE 'att6' real
@ATTRIBUTE 'att7' real
@ATTRIBUTE 'att8' real
@ATTRIBUTE 'att9' real
@ATTRIBUTE 'id' real
@ATTRIBUTE 'outlier' {'yes','no'}

@DATA
42.0,-3.0,88.0,1.0,42.0,0.0,45.0,46.0,2.0,10147.0,'no'
37.0,0.0,79.0,0.0,10.0,29.0,42.0,68.0,26.0,11582.0,'no'
49.0,-1.0,111.0,0.0,50.0,9.0,62.0,62.0,0.0,1177.0,'no'
39.0,6.0,76.0,-1.0,38.0,-1.0,37.0,37.0,0.0,245.0,'no'
57.0,0.0,86.0,0.0,56.0,0.0,30.0,30.0,0.0,6310.0,'no'
80.0,0.0,84.0,6.0,-36.0,29.0,5.0,121.0,116.0,358.0,'no'
37.0,0.0,77.0,0.0,38.0,7.0,39.0,38.0,0.0,11610.0,'no'
37.0,0.0,83.0,0.0,28.0,-29.0,46.0,54.0,8.0,5833.0,'no'
41.0,0.0,76.0,-6.0,42.0,9.0,34.0,34.0,0.0,6528.0,'no'
56.0,5.0,88.0,0.0,54.0,-1.0,32.0,33.0,2.0,8754.0,'no'
66.0,2.0,113.0,0.0,64.0,0.0,47.0,48.0,0.0,10451.0,'no'
37.0,0.0,79.0,0.0,2.0,-2.0,43.0,77.0,34.0,7242.0,'no'
44.0,3.0,85.0,0.0,44.0,15.0,41.0,41.0,0.0,258.0,'no'
58.0,0.0,86.0,0.0,56.0,0.0,27.0,29.0,2.0,3487.0,'no'
37.0,0.0,80.0,7.0,10.0,9.0,43.0,70.0,26.0,3037.0,'no'
55.0,-2.0,85.0,0.0,54.0,0.0,31.0,31.0,0.0,13863.0,'no'
37.0,-1.0,79.0,0.0,36.0,0.0,43.0,43.0,0.0,7239.0,'no'
37.0,0.0,82.0,8.0,-2.0,4.0,45.0,85.0,40.0,5552.0,'no'
37.0,1.0,83.0,0.0,36.0,0.0,45.0,46.0,2.0,423.0,'no'
39.0,1.0,83.0,2.0,38.0,0.0,44.0,44.0,0.0,11816.0,'no'
55.0,0.0,97.0,0.0,52.0,26.0,41.0,45.0,4.0,10143.0,'no'
55.0,0.0,95.0,0.0,36.0,-30.0,40.0,59.0,20.0,8246.0,'no'
46.0,0.0,79.0,4.0,46.0,0.0,33.0,32.0,0.0,10058.0,'no'
55.0,0.0,77.0,0.0,36.0,5.0,22.0,41.0,20.0,2152.0,'no'
39.0,-2.0,106.0,0.0,38.0,0.0,66.0,67.0,0.0,6883.0,'no'
56.0,5.0,98.0,0.0,42.0,-16.0,42.0,57.0,14.0,10895.0,'no'
49.0,0.0,86.0,0.0,50.0,17.0,37.0,37.0,0.0,2327.0,'no'
39.0,0.0,83.0,7.0,38.0,0.0,44.0,44.0,0.0,1161.0,'no'
51.0,0.0,86.0,0.0,50.0,-20.0,35.0,37.0,2.0,714.0,'no'
41.0,0.0,76.0,0.0,42.0,10.0,35.0,34.0,0.0,14459.0,'no'
83.0,0.0,86.0,5.0,-2.0,0.0,4.0,89.0,86.0,13156.0,'no'
56.0,0.0,76.0,0.0,-14.0,8.0,20.0,92.0,72.0,1619.0,'no'
41.0,0.0,85.0,0.0,42.0,20.0,44.0,44.0,0.0,9211.0,'no'
37.0,0.0,76.0,0.0,26.0,-7.0,40.0,50.0,10.0,5074.0,'no'
37.0,-2.0,76.0,0.0,36.0,-12.0,38.0,39.0,2.0,9348.0,'no'
42.0,1.0,82.0,0.0,42.0,0.0,39.0,41.0,2.0,8295.0,'no'
44.0,0.0,76.0,2.0,42.0,-29.0,32.0,34.0,2.0,72.0,'no'
51.0,1.0,87.0,0.0,52.0,5.0,36.0,35.0,0.0,9022.0,'no'
37.0,0.0,92.0,-3.0,12.0,0.0,55.0,79.0,24.0,12956.0,'no'
37.0,1.0,109.0,7.0,26.0,0.0,71.0,83.0,12.0,571.0,'no'
37.0,0.0,75.0,0.0,34.0,-14.0,38.0,41.0,2.0,6702.0,'no'
37.0,0.0,84.0,0.0,24.0,-1.0,47.0,61.0,14.0,4864.0,'no'
51.0,-3.0,81.0,0.0,50.0,-8.0,30.0,32.0,2.0,3236.0,'no'
44.0,0.0,95.0,0.0,42.0,-25.0,52.0,54.0,2.0,7069.0,'no'
37.0,0.0,106.0,0.0,36.0,0.0,68.0,69.0,2.0,3864.0,'no'
41.0,0.0,76.0,0.0,38.0,-2.0,35.0,37.0,2.0,13913.0,'no'
52.0,0.0,78.0,-3.0,52.0,0.0,26.0,26.0,0.0,5465.0,'no'
101.0,0.0,102.0,0.0,72.0,8.0,1.0,29.0,28.0,598.0,'no'
37.0,5.0,77.0,0.0,-22.0,16.0,40.0,101.0,60.0,9429.0,'no'
43.0,0.0,85.0,-2.0,42.0,-13.0,42.0,44.0,2.0,12906.0,'no'
45.0,0.0,83.0,0.0,46.0,13.0,38.0,37.0,0.0,10902.0,'no'
56.0,-4.0,99.0,2.0,46.0,0.0,43.0,52.0,10.0,13247.0,'no'
85.0,0.0,88.0,0.0,6.0,4.0,3.0,83.0,80.0,2882.0,'no'
56.0,0.0,79.0,0.0,54.0,-22.0,23.0,24.0,2.0,13715.0,'no'
38.0,-2.0,79.0,-1.0,38.0,0.0,41.0,40.0,0.0,4521.0,'no'
37.0,0.0,76.0,0.0,36.0,-6.0,39.0,40.0,2.0,13526.0,'no'
49.0,-3.0,107.0,0.0,46.0,-28.0,58.0,60.0,2.0,1677.0,'no'
37.0,0.0,106.0,0.0,30.0,6.0,69.0,75.0,6.0,1985.0,'no'
104.0,3.0,105.0,0.0,72.0,2.0,1.0,33.0,32.0,11738.0,'no'
37.0,0.0,79.0,0.0,10.0,-15.0,43.0,69.0,26.0,5918.0,'no'
45.0,0.0,82.0,0.0,44.0,-5.0,37.0,38.0,2.0,3904.0,'no'
57.0,-1.0,88.0,0.0,56.0,0.0,31.0,31.0,0.0,7769.0,'no'
52.0,3.0,84.0,0.0,52.0,0.0,32.0,32.0,0.0,5518.0,'no'
45.0,-2.0,79.0,0.0,46.0,23.0,33.0,32.0,0.0,3600.0,'no'
37.0,3.0,82.0,0.0,36.0,0.0,45.0,46.0,2.0,4573.0,'no'
56.0,3.0,96.0,-2.0,52.0,0.0,40.0,44.0,4.0,2843.0,'no'
80.0,-1.0,84.0,-7.0,-20.0,0.0,4.0,105.0,100.0,11287.0,'no'
77.0,4.0,81.0,3.0,-40.0,10.0,4.0,123.0,118.0,249.0,'no'
41.0,0.0,81.0,0.0,38.0,-4.0,40.0,42.0,2.0,3599.0,'no'
41.0,5.0,81.0,0.0,42.0,13.0,39.0,39.0,0.0,1705.0,'no'
51.0,2.0,79.0,6.0,52.0,11.0,27.0,27.0,0.0,6123.0,'no'
45.0,0.0,79.0,2.0,44.0,-18.0,34.0,35.0,2.0,10635.0,'no'
48.0,-5.0,76.0,-1.0,46.0,-7.0,28.0,30.0,2.0,8496.0,'no'
37.0,0.0,106.0,0.0,26.0,21.0,68.0,80.0,12.0,6222.0,'no'
41.0,5.0,81.0,-1.0,38.0,-23.0,39.0,42.0,2.0,3094.0,'no'
38.0,0.0,79.0,8.0,38.0,0.0,41.0,41.0,0.0,721.0,'no'
45.0,0.0,83.0,0.0,46.0,11.0,37.0,36.0,0.0,4825.0,'no'
37.0,0.0,81.0,0.0,10.0,-2.0,45.0,71.0,26.0,11806.0,'no'
56.0,0.0,95.0,0.0,46.0,8.0,40.0,49.0,10.0,512.0,'no'
85.0,0.0,88.0,-36.0,0.0,0.0,3.0,88.0,84.0,8866.0,'no'
55.0,0.0,71.0,-1.0,0.0,0.0,16.0,71.0,56.0,3884.0,'no'
56.0,0.0,92.0,0.0,52.0,6.0,36.0,40.0,4.0,6672.0,'no'
37.0,0.0,81.0,0.0,8.0,-6.0,44.0,73.0,28.0,6773.0,'no'
44.0,1.0,77.0,0.0,44.0,0.0,33.0,34.0,0.0,4732.0,'no'
45.0,-44.0,77.0,0.0,-2.0,0.0,32.0,79.0,48.0,1349.0,'no'
45.0,0.0,80.0,3.0,44.0,0.0,35.0,36.0,2.0,3098.0,'no'
55.0,0.0,96.0,0.0,44.0,11.0,41.0,52.0,12.0,6533.0,'no'
52.0,0.0,88.0,-4.0,52.0,0.0,35.0,36.0,0.0,3901.0,'no'
44.0,1.0,79.0,0.0,44.0,0.0,35.0,35.0,0.0,8948.0,'no'
41.0,0.0,83.0,0.0,42.0,25.0,42.0,41.0,0.0,8175.0,'no'
43.0,0.0,87.0,0.0,42.0,-8.0,44.0,46.0,2.0,3410.0,'no'
37.0,0.0,97.0,1.0,34.0,0.0,60.0,64.0,4.0,3004.0,'no'
55.0,0.0,77.0,0.0,-30.0,-9.0,22.0,108.0,86.0,6585.0,'no'
40.0,1.0,76.0,0.0,38.0,0.0,35.0,37.0,2.0,12332.0,'no'
55.0,0.0,95.0,-5.0,46.0,0.0,40.0,49.0,8.0,4738.0,'no'
37.0,0.0,79.0,0.0,18.0,-21.0,43.0,61.0,18.0,6128.0,'no'
37.0,-4.0,81.0,1.0,36.0,0.0,44.0,44.0,0.0,6181.0,'no'
82.0,0.0,85.0,-2.0,-10.0,0.0,3.0,95.0,92.0,12533.0,'no'
42.0,3.0,79.0,0.0,42.0,0.0,36.0,37.0,2.0,8053.0,'no'
50.0,0.0,106.0,0.0,50.0,0.0,56.0,57.0,0.0,10709.0,'no'
55.0,0.0,81.0,-4.0,-14.0,0.0,26.0,97.0,70.0,5298.0,'no'
45.0,0.0,88.0,0.0,44.0,-8.0,43.0,44.0,2.0,10285.0,'no'
56.0,0.0,78.0,0.0,16.0,28.0,22.0,63.0,40.0,12146.0,'no'
44.0,-5.0,77.0,0.0,42.0,-12.0,33.0,35.0,2.0,12327.0,'no'
53.0,-1.0,81.0,0.0,54.0,3.0,28.0,27.0,0.0,2824.0,'no'
37.0,0.0,76.0,0.0,26.0,-3.0,39.0,50.0,12.0,7404.0,'no'
40.0,-4.0,77.0,0.0,38.0,0.0,36.0,38.0,2.0,10789.0,'no'
54.0,-1.0,83.0,0.0,54.0,0.0,28.0,28.0,0.0,5404.0,'no'
45.0,0.0,78.0,-2.0,44.0,-4.0,33.0,34.0,2.0,3443.0,'no'
37.0,0.0,76.0,0.0,38.0,26.0,38.0,37.0,0.0,4029.0,'no'
57.0,1.0,84.0,-7.0,56.0,0.0,28.0,28.0,0.0,4492.0,'no'
41.0,0.0,80.0,0.0,42.0,31.0,39.0,39.0,0.0,9357.0,'no'
37.0,0.0,83.0,-3.0,18.0,0.0,47.0,65.0,18.0,13253.0,'no'
41.0,0.0,79.0,0.0,42.0,0.0,38.0,38.0,0.0,14149.0,'no'
38.0,0.0,92.0,1.0,16.0,4.0,54.0,77.0,22.0,5207.0,'no'
53.0,0.0,81.0,0.0,54.0,7.0,28.0,26.0,0.0,14455.0,'no'
37.0,16.0,77.0,-5.0,-22.0,6.0,41.0,101.0,60.0,9718.0,'no'
52.0,-2.0,81.0,0.0,52.0,0.0,29.0,30.0,0.0,11501.0,'no'
43.0,0.0,86.0,0.0,42.0,-1.0,42.0,44.0,2.0,13939.0,'no'
55.0,0.0,78.0,-1.0,16.0,0.0,23.0,63.0,40.0,12326.0,'no'
55.0,-3.0,76.0,0.0,-18.0,-5.0,21.0,94.0,74.0,6823.0,'no'
55.0,0.0,87.0,8.0,54.0,0.0,32.0,33.0,0.0,5920.0,'no'
48.0,0.0,79.0,0.0,50.0,31.0,31.0,30.0,0.0,13222.0,'no'
55.0,0.0,83.0,0.0,54.0,-5.0,28.0,29.0,2.0,12807.0,'no'
50.0,-2.0,110.0,2.0,50.0,0.0,60.0,61.0,2.0,9811.0,'no'
39.0,1.0,97.0,0.0,38.0,0.0,58.0,59.0,0.0,8526.0,'no'
38.0,1.0,77.0,3.0,38.0,0.0,39.0,38.0,0.0,10360.0,'no'
85.0,-38.0,107.0,0.0,64.0,-3.0,22.0,42.0,20.0,12741.0,'no'
51.0,0.0,84.0,0.0,52.0,18.0,33.0,33.0,0.0,7980.0,'no'
37.0,0.0,75.0,0.0,26.0,11.0,38.0,49.0,12.0,13262.0,'no'
63.0,0.0,112.0,3.0,62.0,0.0,49.0,50.0,0.0,4440.0,'no'
37.0,0.0,82.0,0.0,12.0,7.0,45.0,69.0,24.0,2940.0,'no'
55.0,-5.0,78.0,0.0,54.0,0.0,23.0,24.0,0.0,11178.0,'no'
53.0,0.0,102.0,0.0,52.0,-5.0,49.0,50.0,2.0,8846.0,'no'
56.0,0.0,77.0,0.0,10.0,7.0,22.0,67.0,46.0,8816.0,'no'
42.0,0.0,82.0,-4.0,42.0,0.0,40.0,41.0,0.0,9831.0,'no'
44.0,4.0,93.0,0.0,44.0,1.0,49.0,50.0,0.0,12056.0,'no'
48.0,-1.0,83.0,-4.0,46.0,-6.0,35.0,37.0,2.0,3746.0,'no'
46.0,5.0,77.0,0.0,46.0,2.0,31.0,31.0,0.0,3204.0,'no'
44.0,0.0,83.0,0.0,44.0,3.0,39.0,39.0,0.0,425.0,'no'
44.0,0.0,87.0,-6.0,42.0,-8.0,43.0,46.0,2.0,7937.0,'no'
49.0,4.0,82.0,0.0,50.0,1.0,33.0,33.0,0.0,11837.0,'no'
42.0,-4.0,81.0,-1.0,42.0,0.0,40.0,40.0,0.0,11834.0,'no'
44.0,-2.0,84.0,0.0,44.0,2.0,41.0,41.0,0.0,1107.0,'no'
51.0,1.0,87.0,2.0,52.0,9.0,36.0,35.0,0.0,9802.0,'no'
47.0,0.0,81.0,-2.0,46.0,0.0,34.0,34.0,0.0,7797.0,'no'
54.0,0.0,81.0,0.0,54.0,1.0,27.0,26.0,0.0,12470.0,'no'
45.0,1.0,83.0,6.0,44.0,0.0,38.0,39.0,2.0,10469.0,'no'
56.0,0.0,97.0,0.0,56.0,9.0,40.0,40.0,0.0,7246.0,'no'
51.0,3.0,86.0,0.0,52.0,23.0,35.0,34.0,0.0,3586.0,'no'
50.0,1.0,106.0,0.0,50.0,0.0,57.0,57.0,0.0,257.0,'no'
57.0,0.0,84.0,1.0,56.0,0.0,27.0,27.0,0.0,7567.0,'no'
44.0,-4.0,76.0,-2.0,44.0,3.0,32.0,32.0,0.0,4400.0,'no'
49.0,0.0,81.0,0.0,46.0,-23.0,33.0,35.0,2.0,5500.0,'no'
46.0,0.0,81.0,1.0,46.0,7.0,35.0,35.0,0.0,662.0,'no'
49.0,-2.0,89.0,0.0,50.0,9.0,40.0,40.0,0.0,2969.0,'no'
42.0,1.0,96.0,0.0,42.0,0.0,54.0,55.0,0.0,13099.0,'no'
37.0,0.0,81.0,0.0,28.0,-2.0,44.0,52.0,8.0,10334.0,'no'
37.0,0.0,76.0,0.0,24.0,11.0,39.0,52.0,14.0,7986.0,'no'
53.0,0.0,86.0,0.0,54.0,24.0,33.0,32.0,0.0,2359.0,'no'
45.0,0.0,88.0,0.0,44.0,-2.0,43.0,44.0,2.0,3060.0,'no'
38.0,0.0,76.0,-1.0,36.0,-25.0,38.0,40.0,2.0,12970.0,'no'
56.0,3.0,97.0,0.0,52.0,0.0,41.0,45.0,4.0,7300.0,'no'
41.0,0.0,79.0,-2.0,38.0,-14.0,38.0,40.0,2.0,8967.0,'no'
49.0,4.0,82.0,0.0,50.0,25.0,33.0,33.0,0.0,1339.0,'no'
45.0,1.0,83.0,0.0,46.0,30.0,37.0,36.0,0.0,8827.0,'no'
37.0,0.0,86.0,-3.0,36.0,0.0,49.0,50.0,0.0,4488.0,'no'
55.0,0.0,77.0,0.0,12.0,21.0,21.0,64.0,42.0,8782.0,'no'
56.0,-3.0,96.0,0.0,56.0,9.0,40.0,39.0,0.0,12288.0,'no'
37.0,0.0,83.0,0.0,2.0,4.0,46.0,81.0,34.0,5542.0,'no'
41.0,0.0,81.0,-1.0,38.0,-5.0,40.0,42.0,2.0,7826.0,'no'
45.0,0.0,77.0,0.0,46.0,12.0,32.0,31.0,0.0,4270.0,'no'
40.0,0.0,84.0,-7.0,38.0,0.0,45.0,46.0,2.0,8688.0,'no'
52.0,4.0,79.0,0.0,52.0,0.0,26.0,27.0,0.0,11302.0,'no'
48.0,-3.0,83.0,0.0,46.0,0.0,34.0,36.0,2.0,362.0,'no'
37.0,0.0,81.0,-2.0,38.0,-5.0,43.0,42.0,0.0,7335.0,'no'
81.0,0.0,84.0,0.0,-18.0,0.0,4.0,103.0,98.0,14130.0,'no'
